form_code,status,translation_rating,missing_translation_score,labelled_fields_score,total_score
AAAV_019,pass,1.000,1.000,1.000,1.000
AAEA_033,pass,1.000,1.000,1.000,1.000
AAEI_019,pass,1.000,1.000,1.000,1.000
AAEV_019,pass,1.000,1.000,1.000,1.000
AAFK_019,pass,1.000,1.000,1.000,1.000
AAGF_019,pass,1.000,1.000,1.000,1.000
AAOC_033,pass,1.000,1.000,1.000,1.000
AAOE_033,pass,1.000,1.000,1.000,1.000
AAOV_033,pass,1.000,1.000,1.000,1.000
AAPD_033,pass,1.000,1.000,1.000,1.000
AAPR_033,pass,1.000,1.000,1.000,1.000
AAPT_033,pass,1.000,1.000,1.000,1.000
AAQB_033,pass,1.000,1.000,1.000,1.000
AAQD_033,pass,1.000,1.000,1.000,1.000
AAQJ_033,pass,1.000,1.000,1.000,1.000
AAQM_033,pass,1.000,1.000,1.000,1.000
AARI_033,pass,1.000,1.000,1.000,1.000
AARN_033,pass,1.000,1.000,1.000,1.000
AARV_033,pass,1.000,1.000,1.000,1.000
ABRS_019,pass,1.000,1.000,1.000,1.000
ADDS_019,pass,1.000,1.000,1.000,1.000
BAGQ_019,pass,1.000,1.000,1.000,1.000
BAQM_033,pass,1.000,1.000,1.000,1.000
AACQ_019,pass,1.000,1.000,0.984,0.984
AAQK_033,pass,1.000,1.000,0.979,0.979
AAGZ_033,pass,1.000,1.000,0.968,0.968
AAKP_033,pass,1.000,1.000,0.960,0.960
AAPQ_033,pass,1.000,1.000,0.958,0.958
AAGZ_019,pass,0.991,0.989,0.975,0.956
AAOM_033,pass,1.000,1.000,0.947,0.947
AAQQ_033,pass,1.000,1.000,0.941,0.941
AAPM_033,pass,1.000,1.000,0.938,0.938
AAAL_019,pass,0.972,0.970,0.989,0.932
AAOI_033,pass,1.000,1.000,0.929,0.929
AAHA_019,pass,1.000,0.926,1.000,0.926
AAAU_019,pass,1.000,1.000,0.923,0.923
AAQG_033,pass,1.000,1.000,0.923,0.923
AANE_019,pass,0.944,0.974,1.000,0.920
AAOF_033,pass,1.000,1.000,0.917,0.917
AARB_033,pass,1.000,1.000,0.917,0.917
AAPS_033,pass,1.000,1.000,0.910,0.910
AAMB_019,pass,1.000,1.000,0.909,0.909
AAHO_019,pass,1.000,1.000,0.906,0.906
BAUL_033,pass,1.000,1.000,0.894,0.894
AAAB_019,pass,1.000,1.000,0.877,0.877
AAKI_019,pass,1.000,1.000,0.865,0.865
AAAA_019,pass,0.976,0.932,0.949,0.863
AAAQ_019,pass,1.000,1.000,0.853,0.853
BAGE_019,pass,0.938,0.905,1.000,0.849
AAIS_019,pass,0.971,0.870,1.000,0.844
AAGG_019,pass,0.988,0.852,1.000,0.842
AARM_033,pass,1.000,1.000,0.837,0.837
AATK_033,pass,1.000,1.000,0.833,0.833
AAXC_019,pass,1.000,1.000,0.833,0.833
AAOS_033,pass,1.000,1.000,0.815,0.815
AAKS_019,pass,0.928,0.895,0.975,0.810
AAAI_019,pass,0.909,0.931,0.938,0.793
AACB_033,pass,1.000,1.000,0.789,0.789
AAHM_019,pass,1.000,1.000,0.775,0.775
AACE_019,pass,0.898,0.863,1.000,0.775
AACC_019,pass,0.971,0.899,0.880,0.769
BAGW_019,pass,0.923,0.904,0.917,0.765
AAGS_019,pass,0.971,0.927,0.849,0.764
AABK_019,pass,1.000,1.000,0.739,0.739
AALH_019,pass,0.904,0.891,0.917,0.738
AAIR_019,pass,0.940,0.783,0.991,0.729
AAHQ_019,pass,1.000,1.000,0.729,0.729
AACJ_019,pass,0.903,0.861,0.932,0.725
BAGO_019,pass,0.941,0.756,1.000,0.712
AAAM_019,pass,0.840,0.819,0.971,0.668
AADQ_033,pass,1.000,1.000,0.667,0.667
AALP_019,pass,0.981,1.000,0.667,0.654
BAGU_019,pass,0.907,0.860,0.797,0.622
AACW_019,pass,0.785,0.784,1.000,0.616
AAMK_033,pass,1.000,1.000,0.500,0.500
AALR_019,pass,0.971,0.976,0.518,0.491
ACAV_001,pass,1.000,1.000,0.487,0.487
AALQ_019,pass,0.986,0.984,0.482,0.468
AACS_019,pass,0.719,0.589,1.000,0.424
AAOO_033,pass,1.000,1.000,0.013,0.013
AAOK_033,pass,1.000,1.000,0.000,0.000
AVERAGE,,0.978,0.965,0.892,0.842
